employee_id,name,department,role,active,consent
1236bd4e-a6f9-472a-9fa7-76af1a8b9ecd,Grace Miller,Engineering,Engineering Manager,True,True
d334d547-9938-45dc-88b8-adc69c4d091b,Rita Hall,Engineering,Software Engineer,True,True
30e3f437-f563-4c99-9355-3fa2b0411fc2,Fiona Brown,Sales,Sales Manager,True,True
5b48394e-1765-4ebf-bb56-83e8f67d26fb,Eva Clark,Engineering,Tech Lead,True,True
82179ef8-a6ba-4cd9-8adb-908d2aa4c69f,Carol Wilson,Engineering,Senior Engineer,True,True
fa28e112-3881-4155-805a-b0307e2d102e,Xavier Wright,Engineering,Tech Lead,True,True
a4d94ce0-2693-493e-9bd3-e4674b1c522d,Beth Walker,Engineering,Engineering Manager,True,True
6a74a4f9-15b4-4b5a-a91c-55131a40d286,Paul Clark,Engineering,Engineering Manager,True,True
9dc2a957-c7a0-4ae8-8d08-0ec58b90348c,Carol Brown,Sales,BDR,True,True
887b957d-780e-4279-ab81-af87ad34a089,Ivy Lopez,Engineering,Tech Lead,True,True
cb718313-8c20-4614-aae4-35a4db7fc8d3,Olivia Wright,Engineering,Senior Engineer,True,True
e42f97b6-7f3f-474c-931a-73487265767d,Liam Thomas,Sales,BDR,True,True
29ae03af-9067-4aa4-876b-375e6103e866,Zoe Hernandez,Sales,Sales Representative,True,True
e1646fc7-b950-4ae2-9c01-c1fff0680d0f,James Lopez,Engineering,Tech Lead,True,True
d4b97554-d6e7-4cce-98cc-ca0431bd2912,Yara White,Engineering,Senior Engineer,True,True
eb026e83-6ae6-42f3-9460-62acf855237c,Beth Lewis,HR,Recruiter,True,True
6d8eec46-8f7e-483d-a8fe-c055409d76e2,Eva Young,Engineering,Software Engineer,True,True
88fb2710-e96d-468f-b027-beae99b8fac2,Wendy King,Engineering,Engineering Manager,True,True
e311e465-69b9-48be-8900-512bcfff20e7,Paul Allen,Engineering,Software Engineer,True,True
b0aed175-1359-4531-88eb-69d672b3d6e7,Yara Walker,Sales,Account Executive,True,True
affd00e8-a239-4032-a142-d4b99bb23c4c,Xavier Jackson,Engineering,Engineering Manager,True,True
8db65a16-ace0-4ae2-8dc4-03bfd2e59ce5,Rita Miller,Engineering,Tech Lead,True,True
45ecf9e3-5e9a-4f83-9593-f12d814f8682,Carl White,Engineering,Senior Engineer,True,True
1bbc328a-d8dd-44d5-b2d8-7b004bf38537,James Wright,HR,HR Manager,True,True
cb9f7033-ee70-461b-ac97-f924fc2df8f3,Dave King,Sales,Sales Representative,True,True
dbf667d5-f863-4cf7-87bf-543942a6d400,Bob Harris,Engineering,Software Engineer,True,True
4a80022b-6609-4b68-a9e6-7e64837d8444,Liam Hernandez,Sales,Sales Manager,True,True
f5c577a0-212d-47ae-9a30-ec23714590be,Eva King,Engineering,Software Engineer,True,True
46fa99b0-2cc5-4810-8996-023be92df485,Wendy Rodriguez,Engineering,Tech Lead,True,True
58f1f5c8-5a00-480c-930a-28d15a6bbc7c,Uma Rodriguez,Sales,BDR,True,True
d74fe197-d9c7-4420-ab32-a6a8ba81f0cf,Kate Lee,Sales,BDR,True,True
8deced29-97d4-4ad2-85a0-a0cc162fe22e,Kevin Martinez,HR,Recruiter,True,True
e8d65e95-fa81-4107-b1ae-6b83635ed430,Quinn Brown,Engineering,Engineering Manager,True,True
9dc604f3-0ee1-4a89-b48f-6c937d7d31a6,Sam Clark,Engineering,Tech Lead,True,True
5635802d-c56c-4cac-bdb1-45f3fef2d82e,Xavier Wilson,Sales,Sales Representative,True,True
fe07fbf1-8023-4564-9110-e0fdcc77e02e,Paul Jones,HR,HR Specialist,True,True
2fa889c7-5e9a-43d1-a113-57740fc6b248,Diana White,HR,Recruiter,True,True
9bc337af-0c00-4d8e-be96-9c8ab219e6a4,Grace Jackson,Engineering,Tech Lead,True,True
bd1d6afb-f3a5-45f8-b38d-d57d067c9490,Uma Lee,Engineering,Engineering Manager,True,True
f16ab958-a5de-4ec3-99c5-49972a70d1f0,Mia Moore,Sales,Account Executive,True,True
fdeffdf0-12d3-4f3d-a85a-e0ef5e6308f4,Liam Miller,Engineering,Tech Lead,True,True
3dc54026-81ea-429d-a2da-d90c959c9ab5,Paul Lee,HR,People Ops Analyst,True,True
68827642-09c0-49cc-bff5-a0d150745657,Yara Hernandez,Engineering,Engineering Manager,True,True
4de717a5-e140-4ab0-8478-50c5ebcbf99c,Sam Davis,HR,Recruiter,True,True
5118f130-875e-4815-845e-5851136931cd,Mia Thomas,Sales,Account Executive,True,True
f2406ad2-af33-4b9f-acbf-83d6bcc9f3c1,Hector Walker,Engineering,Senior Engineer,True,True
bc607870-c836-48cc-ae23-9bc0d2bdf4a6,Paul Martinez,Engineering,Engineering Manager,True,True
f87b9649-c9cf-4668-a7d3-b391af8aac8d,Laura Young,Sales,BDR,True,True
906d72b1-67e3-4b5d-834b-174599841d53,Julia Hall,Engineering,Tech Lead,True,True
b9ed8c0f-95f4-4346-ac0e-44faaa26be69,Carol Lopez,Sales,Account Executive,True,True
f0e71a38-66e7-438d-b2be-a84a2f87892d,Grace Wright,Engineering,Software Engineer,True,True
9f17bc26-da3b-4eab-9d20-ecce73b0b6f5,Uma Smith,Engineering,Senior Engineer,True,True
e016529c-8f90-4180-96cf-2cb02df4349b,Rita Clark,Engineering,Tech Lead,True,True
6677ba3d-660f-4365-894c-6a3b19cb11a7,Paul Young,Engineering,Software Engineer,True,True
467e9e67-6080-48f6-b4f8-5b74a9aa21d0,James Lee,HR,HR Manager,True,True
941c7321-8dec-4d0e-bdb0-91f8ad7f279e,Dave Anderson,Engineering,Tech Lead,True,True
f0d3dedf-0e1a-4581-aae0-f40223f13ed3,Carol Hall,Sales,Account Executive,True,True
265204ff-7fab-492f-884c-e922f81a184d,Ethan Smith,Sales,Account Executive,True,True
7014f492-9e44-42d3-88bf-c9a8dd12bae8,Beth Wright,Engineering,Senior Engineer,True,True
42995514-d4d6-4469-a6ae-20381bd6e0a9,Uma Martin,Engineering,Tech Lead,True,True
46c5515e-b5ec-46e3-88aa-c3be38ea2347,Mia Hernandez,Sales,BDR,True,True
2cfb5f4e-c9d9-4055-9fbf-c748af05e956,Fiona King,Engineering,Senior Engineer,True,True
36aa6a8c-265b-4782-bddb-f68cd9e02da5,Yara Lewis,Sales,Sales Representative,True,True
aca5ab2a-67b8-4474-8b02-c076d9b79b2d,Quinn Garcia,Engineering,Engineering Manager,True,True
35cd488f-ccdd-4f71-8ea5-97afab98f43c,Kevin Harris,Engineering,Senior Engineer,True,True
b5158a0d-7654-47ab-b94f-ab5361104f05,Aaron Lewis,Engineering,Senior Engineer,True,True
2415d710-0cf9-49be-ba97-781abcbbd17a,Alice Moore,Sales,Sales Representative,True,True
ca6c3a31-0530-48b5-ac5f-ba7550b26177,Olivia Thomas,Sales,Account Executive,True,True
65695c2e-74c6-44ac-87fc-89172dea36ad,Aaron Thomas,HR,Recruiter,True,True
8cbf7540-7526-4514-a700-c48f80a389bf,Grace Smith,Sales,Sales Manager,True,True
9cc53440-668a-4fd8-a479-6a5b57e9d0f4,Ethan Thomas,Sales,BDR,True,True
66285347-e5fb-4d16-a740-044486e6a111,Noah Walker,HR,HR Manager,True,True
83a70d20-ad2b-4d7b-809a-f60386d78a5b,Aaron Young,Engineering,Engineering Manager,True,True
addd40e8-e549-4bcf-be46-6b72ba0327e3,Ian King,Sales,Sales Manager,True,True
56ad0f49-6387-4f1d-8de0-face583ade8b,Kevin Anderson,Sales,Account Executive,True,True
67432f6d-396a-4e52-842f-5e090ab7be6e,Paul Jackson,Sales,Sales Representative,True,True
ad4e051f-a8ea-434e-abf1-67a1cc523e74,Hana Lopez,Sales,BDR,True,True
dfc7806f-a3bc-4128-8660-53ccb67c5c95,Quinn Lee,Sales,Account Executive,True,True
66e28d30-2bf6-4787-903f-548ea876351d,Sam Smith,HR,People Ops Analyst,True,True
587b38a9-62cd-4410-aedc-52ffd703767c,Quinn Lewis,Engineering,Tech Lead,True,True
f2d676c2-5611-4ff5-a4e9-627b4157bcee,Wendy Jones,Engineering,Senior Engineer,True,True
f11a76ff-274f-4168-9f55-b2e3bfcaf512,Ethan Hernandez,HR,People Ops Analyst,True,True
61b0de5a-d71c-413b-97fc-b5faafe40289,Frank Brown,Engineering,Engineering Manager,True,True
fd478b9f-cd2f-4fa9-a573-cfc1946cb9dd,Ethan Hall,Sales,Account Executive,True,True
54150c79-c734-4918-b664-0edd52bc58f0,Mia Jones,Engineering,Software Engineer,True,True
232ff23f-1474-404c-aeaf-fa66a1936624,Xavier Rodriguez,Engineering,Tech Lead,True,True
81837fda-8627-4a51-8480-4aea50759811,Olivia White,Sales,BDR,True,True
98f60cfa-4e58-4006-ac87-d57e157e6395,Uma Robinson,Sales,Account Executive,True,True
a37274f4-647b-4f71-af7c-422caf7c02bb,James Smith,Engineering,Tech Lead,True,True
e76d5f90-c158-4943-a170-facbc8c402e5,Hector Lewis,Sales,Account Executive,True,True
1e3b1f34-97ff-4f8c-b06f-477456f1a000,George Smith,HR,HR Manager,True,True
3aad4669-586a-4e77-995a-b8dcbac5ea99,Olivia Rodriguez,Sales,Sales Manager,True,True
1bda44c3-7020-4baa-9e64-80fb32527356,Wendy Hall,Engineering,Software Engineer,True,True
de5ce709-5f6e-40f5-ae59-25d41199558e,Alice Young,Engineering,Tech Lead,True,True
6f623183-4079-4ba7-b458-7cedff5490a8,Carl Martin,Sales,BDR,True,True
e946c6da-5b49-4846-8967-642d5a1b8c74,Liam Young,Engineering,Engineering Manager,True,True
39ab7ca8-586c-4217-a32e-c6f0c4c7bb90,Yara Allen,Engineering,Software Engineer,True,True
57f8a11e-b84d-4970-8328-f602948a731e,Diana Hall,Engineering,Software Engineer,True,True
cc57fd32-79dc-482b-be54-13e696a26e44,Beth Jackson,HR,HR Specialist,True,True
494764eb-64c3-4078-abcc-9e26f4412b3b,Frank Martin,Engineering,Senior Engineer,True,True
3c7c341a-5f75-4306-9348-dafa40d1f155,Zoe Davis,Engineering,Software Engineer,True,True
b6036041-d12f-46c6-bc87-2cf4117c7039,Uma Jackson,Sales,BDR,True,True
c2e4eb30-ccf5-4b41-b671-3f6286c8bfbe,Xavier Clark,Sales,BDR,True,True
4474f9ac-202b-464e-b602-54693d0050a1,Quinn Smith,Sales,BDR,True,True
69d0a712-f238-436f-8530-433eabcb79ab,Ivy Taylor,Engineering,Software Engineer,True,True
9d2c6d43-3764-4e4a-8dac-1ea0e6ecd39a,Wendy Thomas,Engineering,Software Engineer,True,True
2d12060a-513f-4bf3-9b1c-1982b8b24af8,Aaron Martinez,Sales,BDR,True,True
f7760324-c568-4909-8842-e59e07cbaddd,Laura Lopez,Sales,Sales Representative,True,True
479ce48e-4ae5-45da-bf0e-1f845636ef97,Mia Lopez,Sales,Sales Manager,True,True
b78565c0-6871-406a-ba4f-0768c2ebc386,Carol Lee,Engineering,Engineering Manager,True,True
7f94a190-208c-4221-838b-5b21ea3e59c7,Eva Jones,Engineering,Software Engineer,True,True
465c5ceb-938c-47c6-a7ec-8fde6c77a7bb,George Jackson,Engineering,Software Engineer,True,True
37c0d5f9-01e6-40f6-9f68-5e2e7375cfd0,Bob Anderson,HR,HR Specialist,True,True
2b3c2e4f-db07-47d6-805f-7bfc7f705205,Yara Wilson,HR,HR Specialist,True,True
0f9e16ef-4244-4e18-8886-78fe86d715d4,Eva Martin,Engineering,Software Engineer,True,True
20fc981a-7248-4a85-98be-2d0896530fc2,Beth Lopez,Engineering,Engineering Manager,True,True
8f6e084b-063a-4e2d-b113-0c697c7fa638,Aaron Williams,Engineering,Tech Lead,True,True
b25fcb68-be1f-411f-b158-64e0a6930f65,Carl Lopez,Engineering,Engineering Manager,True,True
ae4da2b4-bdd1-4a1e-acaa-e11b68f02ddd,Sam Lee,Sales,BDR,True,True
def0af8d-1505-45f4-b7c1-ebe05a8084c8,Carl Clark,Engineering,Engineering Manager,True,True
84f87d6f-006f-4737-900b-a1958c078982,Sam Robinson,Engineering,Software Engineer,True,True
f1070cc0-7bdd-46f6-b7db-2be046c128f9,Aaron Allen,Engineering,Senior Engineer,True,True
2dec96d9-3b8a-4136-ba13-b1d0c0ed024d,Quinn Martin,Sales,BDR,True,True
e060d537-8585-4d38-8164-1ddea5fa5d52,Ivy Rodriguez,Engineering,Software Engineer,True,True
a8632069-0ef9-4943-8f6a-dec8d103e136,Hana Robinson,HR,HR Specialist,True,True
f164b6b9-7d39-45a9-9abc-4ad1d56725b8,Carol Allen,Engineering,Tech Lead,True,True
27bd5f88-0905-4bdf-9f53-754c585cc496,Noah Allen,Sales,BDR,True,True
99408ce9-5458-4903-a7a4-0bfd8b1a8728,Julia King,HR,People Ops Analyst,True,True
72be5bdc-a328-45dc-9269-aa8b0e306e38,Tara Miller,HR,People Ops Analyst,True,True
3ba2296f-f6da-49de-be6a-fd1d89e4ed87,Olivia Robinson,HR,HR Specialist,True,True
095fa899-d0ce-4bda-be88-50a0292b885f,Ethan Lopez,Engineering,Engineering Manager,True,True
4b7c4489-bad2-4de2-be1d-d1c09bf1560c,Carl Hernandez,Engineering,Engineering Manager,True,True
c73b05ec-4c75-4434-9c12-3b08ec1b4ea9,Julia White,Engineering,Tech Lead,True,True
28cb7c3e-afc4-4340-af30-b052a0caaea6,Paul Harris,Engineering,Engineering Manager,True,True
751e100d-9ffb-41ca-8d93-85a0ce6452b7,Julia Robinson,Engineering,Engineering Manager,True,True
9db54c17-739e-49bd-bf84-cd0fedaf390a,Carol Williams,Engineering,Senior Engineer,True,True
88904bd9-5103-4a4f-9257-e6e4d3373b79,Uma Williams,Engineering,Software Engineer,True,True
15d37e62-c71c-4f7d-8e04-e69828a469ce,Frank Lewis,Engineering,Senior Engineer,True,True
b3abba01-6244-4ac5-bc61-3b445e121c1a,Frank Young,Engineering,Software Engineer,True,True
e328a290-73b8-4b08-ad16-ce8cdac59893,Kevin Hall,Sales,Account Executive,True,True
42cd662f-71c7-4faa-8cda-5b070caf1828,Olivia Hernandez,Engineering,Software Engineer,True,True
6845d263-2750-49a0-9197-63bbb8d848cd,Eva Williams,HR,HR Manager,True,True
c3467d55-f348-463f-b120-e5304a228e1c,Wendy Young,Engineering,Tech Lead,True,True
5aa9a202-726f-42dc-8327-a0fa5c2d511a,Xavier Hall,Sales,Sales Manager,True,True
6099d0ed-3ef7-432b-ace9-2c058cab1ba9,Laura Hernandez,HR,HR Manager,True,True
3ca50eb9-d0d0-42e6-81ba-6adda6443ec1,Victor Garcia,Sales,Sales Manager,True,True
19ecb98b-0518-4c7d-aad1-f3156cf6a6cf,Zoe Hall,Sales,Sales Manager,True,True
bc19c4f5-5000-4481-939c-caef64f59df8,Julia Young,Engineering,Software Engineer,True,True
7dfdeafa-2757-4e5d-8b7c-b98ae721f571,Zoe Lewis,HR,People Ops Analyst,True,True
468fd235-6de9-4f02-b458-057e414ad6a5,Noah Lewis,Sales,Sales Representative,True,True
30596036-d5c8-4f35-8324-38a6ff743e39,Zoe Brown,Sales,Account Executive,True,True
476a98ec-31dc-45e6-9cf3-69181b050ab4,Olivia Anderson,Sales,BDR,True,True
bbba59b2-8922-4582-80c6-eefd389fb6db,Diana Allen,Engineering,Tech Lead,True,True
10c5ffc1-7d94-4c63-8d56-b71231428898,Grace Harris,Sales,Account Executive,True,True
60ebc849-73a9-444c-b76a-d53f33510486,Carl Robinson,Engineering,Software Engineer,True,True
e6432cd1-eb96-40e0-993c-e2b13a7d2728,Bob Brown,Engineering,Software Engineer,True,True
f7b0d22b-32b1-4212-92cd-64e601f7947a,Ian Clark,Engineering,Senior Engineer,True,True
6992d42d-9f9b-4821-9b43-f04556efe243,Julia Jones,Engineering,Software Engineer,True,True
765a8894-efd1-4fd2-aa1d-90ca209e6d60,Eva Jackson,Engineering,Tech Lead,True,True
